,taxonomy,host-associated,unknown function,tail,DNA,transcription regulation,head and packaging,lysis,moron,integration and excision,auxiliary metabolic gene and host takeover,other,RNA and nucleotide metabolism,connector,vf_amr
3300010261_3|3300010261.a:Ga0129309_1000732,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,False,7,0,5,3,0,0,1,2,1,1,5,0,0
3300010261_5|3300010261.a:Ga0129309_1000002,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__GCF_002393265.1,False,43,4,6,3,8,1,1,2,1,2,6,2,0
3300010261_5|3300010261.a:Ga0129309_1000017,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__GCF_002393265.1,False,18,6,0,0,7,2,0,0,0,0,0,4,0
3300010261_5|3300010261.a:Ga0129309_1000119,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__GCF_002393265.1,False,30,5,1,3,5,3,0,0,0,1,1,4,0
3300010261_9|3300010261.a:Ga0129309_1001453,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__,False,13,0,0,0,0,0,0,1,0,0,0,0,0
3300010261_9|3300010261.a:Ga0129309_1001482,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__,False,10,0,1,1,0,0,0,1,0,1,1,0,0
3300010262_12|3300010262.a:Ga0129317_1000228,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans,False,28,0,10,0,0,0,0,0,0,1,10,0,0
3300010262_13|3300010262.a:Ga0129317_1000016,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii,False,71,14,15,7,12,1,2,2,2,0,15,3,0
3300010262_13|3300010262.a:Ga0129317_1000143,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii,False,29,10,1,2,7,2,0,2,0,2,1,2,0
3300010262_13|3300010262.a:Ga0129317_1000280,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii,False,10,4,0,0,4,1,0,0,0,0,0,0,0
3300010262_15|3300010262.a:Ga0129317_1001518,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__,False,9,0,1,0,1,1,0,1,0,0,1,0,0
3300010262_16|3300010262.a:Ga0129317_1000220,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__GCA_000433535.1,False,21,0,9,1,1,0,3,1,3,4,9,0,0
3300010262_1|3300010262.a:Ga0129317_1000007,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_M;s__,False,40,3,7,3,5,2,1,1,1,2,7,4,0
3300010262_6|3300010262.a:Ga0129317_1000009,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium ramosum,False,59,3,4,1,6,2,1,1,1,2,4,2,0
3300010262_6|3300010262.a:Ga0129317_1000300,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium ramosum,False,32,7,6,4,7,2,0,1,0,4,6,3,0
3300010262_8|3300010262.a:Ga0129317_1000027,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7160;s__,False,60,5,9,3,5,2,2,3,2,7,9,4,0
3300010262_8|3300010262.a:Ga0129317_1000082,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7160;s__,False,34,4,6,1,5,2,1,0,1,1,6,4,0
3300010263_18|3300010263.a:Ga0134105_1000537,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__;s__,False,13,0,7,1,3,0,0,0,0,0,7,0,0
3300010263_22|3300010263.a:Ga0134105_1000057,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__CAG-41;f__;g__;s__,False,13,0,0,3,5,0,1,0,1,1,0,1,0
3300010265_25|3300010265.a:Ga0134098_1000222,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,False,11,3,0,0,4,1,0,0,0,0,0,0,0
3300010265_28|3300010265.a:Ga0134098_1001191,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__;s__,False,11,0,1,0,4,1,0,0,0,0,1,0,0
3300010266_10|3300010266.a:Ga0129314_1000523,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-791;s__GCA_000431495.1,False,20,1,7,1,5,0,0,0,0,2,7,4,0
3300010266_12|3300010266.a:Ga0129314_1000910,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E siraeum,False,18,0,0,1,5,2,0,0,0,2,0,0,0
3300010266_21|3300010266.a:Ga0129314_1000145,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Mogibacterium;s__GCA_002299625.1,False,26,4,5,1,5,0,0,2,0,0,5,4,0
3300010266_21|3300010266.a:Ga0129314_1000417,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Mogibacterium;s__GCA_002299625.1,False,24,1,0,0,3,2,0,0,0,0,0,0,0
3300010266_8|3300010266.a:Ga0129314_1000054,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-510;s__GCA_000434615.1,False,16,3,0,0,0,3,1,3,1,2,0,1,0
3300010266_8|3300010266.a:Ga0129314_1001634,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-510;s__GCA_000434615.1,False,9,0,3,0,0,0,0,1,0,0,3,0,0
3300010266_9|3300010266.a:Ga0129314_1000561,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B hirae,False,18,0,2,0,0,0,5,0,5,0,2,0,0
3300010267_15|3300010267.a:Ga0134101_1000505,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,False,17,1,0,0,3,2,0,0,0,0,0,0,0
3300010267_15|3300010267.a:Ga0134101_1000636,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,False,12,0,3,1,0,0,0,0,0,0,3,0,0
3300010267_21|3300010267.a:Ga0134101_1000015,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__CAG-41;f__;g__;s__,False,6,1,0,0,5,0,0,0,0,0,0,1,0
3300010267_22|3300010267.a:Ga0134101_1000244,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,False,11,3,0,0,4,1,0,0,0,0,0,0,0
3300010267_23|3300010267.a:Ga0134101_1000539,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__;s__,False,12,0,1,0,4,1,0,0,0,0,1,0,0
3300010268_24|3300010268.a:Ga0134097_1000897,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,False,12,0,3,1,0,0,0,0,0,0,3,0,0
3300010268_27|3300010268.a:Ga0134097_1000028,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__CAG-41;f__;g__;s__,False,6,1,0,0,5,0,0,0,0,0,0,1,0
3300010268_28|3300010268.a:Ga0134097_1000552,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__;s__,False,11,0,1,0,4,1,0,0,0,0,1,0,0
3300010269_12|3300010269.a:Ga0134102_1001210,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,False,8,1,2,2,3,0,0,1,0,0,2,0,0
3300010269_22|3300010269.a:Ga0134102_1000313,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,False,11,3,0,0,4,1,0,0,0,0,0,0,0
3300010269_24|3300010269.a:Ga0134102_1000635,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__CAG-41;f__;g__;s__,False,12,1,0,3,5,0,1,0,1,1,0,1,0
3300010269_25|3300010269.a:Ga0134102_1001018,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,False,12,0,3,1,0,0,0,0,0,0,3,0,0
3300010269_27|3300010269.a:Ga0134102_1000636,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__;s__,False,13,0,7,1,3,0,0,0,0,0,7,0,0
3300010269_27|3300010269.a:Ga0134102_1001057,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__;s__,False,11,0,1,0,4,1,0,0,0,0,1,0,0
3300010270_12|3300010270.a:Ga0129306_1000615,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA1189;s__,False,24,1,1,0,1,1,1,0,1,2,1,0,0
3300010270_14|3300010270.a:Ga0129306_1000605,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__,False,27,0,0,0,4,0,1,0,1,1,0,1,0
3300010270_18|3300010270.a:Ga0129306_1000285,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__F082;s__,False,56,2,2,0,4,1,2,2,2,1,2,2,0
3300010270_28|3300010270.a:Ga0129306_1001728,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Stomatobaculum;s__,False,11,0,0,0,0,0,1,0,1,0,0,0,0
3300010270_33|3300010270.a:Ga0129306_1000574,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__,False,29,4,6,0,4,1,0,2,0,1,6,2,0
3300010270_7|3300010270.a:Ga0129306_1001081,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus flavefaciens_A,False,19,0,6,1,0,0,1,0,1,1,6,0,0
3300010270_7|3300010270.a:Ga0129306_1001939,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus flavefaciens_A,False,7,0,0,0,4,0,0,0,0,0,0,0,0
3300010271_18|3300010271.a:Ga0134095_1000194,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__;s__,False,16,0,5,1,3,1,0,0,0,1,5,0,0
3300010271_22|3300010271.a:Ga0134095_1002177,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__CAG-41;f__;g__;s__,False,14,0,0,0,0,1,0,0,0,1,0,0,0
3300010271_26|3300010271.a:Ga0134095_1000557,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,False,11,3,0,0,4,1,0,0,0,0,0,0,0
3300010274_29|3300010274.a:Ga0134100_1001286,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__CAG-41;f__;g__;s__,False,12,1,0,3,5,0,1,0,1,1,0,1,0
3300010274_31|3300010274.a:Ga0134100_1000807,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,False,11,3,0,0,4,1,0,0,0,0,0,0,0
3300010274_37|3300010274.a:Ga0134100_1001145,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__;s__,False,11,0,1,0,4,1,0,0,0,0,1,0,0
3300010275_13|3300010275.a:Ga0129310_1000662,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__GCA_002349225.1,False,17,0,0,0,0,0,4,0,4,0,0,0,0
3300010275_23|3300010275.a:Ga0129310_1000005,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__,False,14,0,4,0,0,0,2,1,2,0,4,0,0
3300010275_23|3300010275.a:Ga0129310_1000015,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__,False,12,2,1,0,1,2,0,0,0,0,1,2,0
3300010275_26|3300010275.a:Ga0129310_1000060,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__,False,80,5,10,7,10,4,2,2,2,0,10,6,0
3300010275_26|3300010275.a:Ga0129310_1000169,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__,False,22,1,0,0,4,2,0,0,0,0,0,0,0
3300010275_28|3300010275.a:Ga0129310_1000474,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__;g__;s__,False,16,1,0,0,4,2,0,1,0,0,0,0,0
3300010275_28|3300010275.a:Ga0129310_1000602,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__;g__;s__,False,41,2,0,1,10,0,1,2,1,3,0,2,0
3300010275_2|3300010275.a:Ga0129310_1000010,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_M;s__Clostridium_M bolteae,False,4,0,2,1,3,0,0,2,0,0,2,1,0
3300010275_2|3300010275.a:Ga0129310_1000092,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_M;s__Clostridium_M bolteae,False,30,0,1,6,6,0,0,1,0,0,1,1,0
3300010275_2|3300010275.a:Ga0129310_1000382,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_M;s__Clostridium_M bolteae,False,20,0,4,1,0,0,0,0,0,0,4,0,0
3300010275_41|3300010275.a:Ga0129310_1000481,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__UBA11510,False,12,4,0,0,4,2,0,0,0,1,0,0,0
3300010275_4|3300010275.a:Ga0129310_1000017,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B;s__Bacteroides_B sartorii,False,73,0,4,2,3,1,0,0,0,1,4,0,0
3300010275_6|3300010275.a:Ga0129310_1000002,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis,False,58,4,11,3,3,1,1,1,1,5,11,0,0
3300010275_6|3300010275.a:Ga0129310_1000172,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis,False,77,3,2,2,1,0,3,0,3,0,2,0,0
3300010275_9|3300010275.a:Ga0129310_1000260,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D albus_C,False,22,0,1,0,4,0,0,0,0,0,1,0,0
3300010276_17|3300010276.a:Ga0134104_1000359,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,False,12,0,3,1,0,0,0,0,0,0,3,0,0
3300010276_17|3300010276.a:Ga0134104_1000557,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,False,11,1,0,0,3,1,0,0,0,0,0,0,0
3300010276_19|3300010276.a:Ga0134104_1000015,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__CAG-41;f__;g__;s__,False,6,1,0,0,5,0,0,0,0,0,0,1,0
3300010276_22|3300010276.a:Ga0134104_1000289,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,False,11,3,0,0,4,1,0,0,0,0,0,0,0
3300010276_23|3300010276.a:Ga0134104_1000814,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__;s__,False,11,0,1,0,4,1,0,0,0,0,1,0,0
3300010277_29|3300010277.a:Ga0134093_1001817,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,False,17,1,0,0,3,2,0,0,0,0,0,0,0
3300010277_32|3300010277.a:Ga0134093_1000258,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__;s__,False,11,0,1,0,4,1,0,0,0,0,1,0,0
3300010277_33|3300010277.a:Ga0134093_1001761,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__CAG-41;f__;g__;s__,False,10,0,0,3,5,0,1,0,1,1,0,1,0
3300010277_36|3300010277.a:Ga0134093_1000723,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,False,11,3,0,0,4,1,0,0,0,0,0,0,0
3300010278_10|3300010278.a:Ga0129311_1000141,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-632;s__GCA_000431515.1,False,30,4,6,2,4,2,2,1,2,1,6,4,0
3300010278_14|3300010278.a:Ga0129311_1000639,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__,False,14,2,2,0,4,2,0,0,0,0,2,0,0
3300010278_1|3300010278.a:Ga0129311_1000375,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D albus_C,False,22,0,1,0,4,0,0,0,0,0,1,0,0
3300010278_20|3300010278.a:Ga0129311_1000178,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__;g__;s__,False,60,3,1,1,10,0,2,2,2,3,1,2,0
3300010278_25|3300010278.a:Ga0129311_1000060,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,False,60,9,4,8,13,5,0,3,0,2,4,6,0
3300010278_26|3300010278.a:Ga0129311_1000787,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__,False,12,0,0,0,1,1,2,1,2,0,0,0,0
3300010279_14|3300010279.a:Ga0129313_1000711,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Clostridium_AJ;s__,False,10,5,0,0,4,1,0,0,0,0,0,0,0
3300010279_6|3300010279.a:Ga0129313_1001574,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__GCA_000435075.1,False,11,0,0,1,0,0,0,1,0,2,0,0,0
3300010280_10|3300010280.a:Ga0129308_1000248,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__,False,70,9,0,4,7,1,1,3,1,1,0,2,0
3300010280_10|3300010280.a:Ga0129308_1000634,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__,False,16,1,0,1,1,2,0,0,0,0,0,0,0
3300010280_15|3300010280.a:Ga0129308_1000152,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides graminisolvens,False,60,4,5,0,6,0,0,2,0,0,5,3,0
3300010280_16|3300010280.a:Ga0129308_1004166,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__;g__;s__,False,8,0,1,0,3,0,1,0,1,0,1,0,0
3300010280_19|3300010280.a:Ga0129308_1000050,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__,False,75,1,7,2,5,0,2,0,2,2,7,0,0
3300010280_23|3300010280.a:Ga0129308_1000002,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis,False,9,5,2,2,1,2,0,0,0,1,2,1,0
3300010280_2|3300010280.a:Ga0129308_1000073,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_M;s__Clostridium_M citroniae,False,26,10,0,2,7,0,1,2,1,1,0,2,0
3300010280_2|3300010280.a:Ga0129308_1000206,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_M;s__Clostridium_M citroniae,False,69,1,5,4,0,0,0,2,0,4,5,0,0
3300010280_30|3300010280.a:Ga0129308_1000252,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__,False,50,0,0,0,4,0,5,0,5,1,0,0,0
3300010280_31|3300010280.a:Ga0129308_1000954,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Clostridium_AJ;s__,False,11,4,0,0,4,0,0,0,0,0,0,0,0
3300010280_31|3300010280.a:Ga0129308_1001907,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Clostridium_AJ;s__,False,12,0,0,1,0,1,0,1,0,1,0,0,0
3300010280_31|3300010280.a:Ga0129308_1002218,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Clostridium_AJ;s__,False,16,0,3,2,0,0,1,0,1,1,3,0,0
3300010280_36|3300010280.a:Ga0129308_1000003,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus garvieae,False,73,4,4,2,6,2,5,2,5,5,4,4,0
3300010280_36|3300010280.a:Ga0129308_1000063,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus garvieae,False,60,5,15,3,4,3,5,1,5,4,15,4,0
3300010280_38|3300010280.a:Ga0129308_1000831,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA3818;s__,False,8,2,0,0,6,0,0,0,0,1,0,2,0
3300010280_39|3300010280.a:Ga0129308_1000615,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__;s__,False,25,0,4,2,3,0,0,2,0,1,4,0,0
3300010280_39|3300010280.a:Ga0129308_1000796,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__;s__,False,27,3,3,0,5,0,0,0,0,1,3,1,0
3300010280_5|3300010280.a:Ga0129308_1000681,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q symbiosum,False,25,1,9,1,5,0,1,0,1,4,9,4,0
3300010280_7|3300010280.a:Ga0129308_1001674,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__;s__,False,12,3,0,0,1,0,0,0,0,0,0,0,0
3300010282_10|3300010282.a:Ga0129307_1000032,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__F082;s__,False,41,2,1,0,4,1,1,2,1,1,1,2,0
3300010282_1|3300010282.a:Ga0129307_1000128,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,False,96,1,12,2,5,1,1,1,1,4,12,0,0
3300010282_21|3300010282.a:Ga0129307_1000014,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__XBB1006;s__,False,17,10,2,0,8,2,0,1,0,1,2,3,0
3300010282_21|3300010282.a:Ga0129307_1000753,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__XBB1006;s__,False,26,0,7,2,0,0,2,0,2,5,7,0,0
3300010282_24|3300010282.a:Ga0129307_1000846,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__,False,46,0,4,0,1,0,2,0,2,4,4,0,0
3300010282_2|3300010282.a:Ga0129307_1001134,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus flavefaciens_A,False,7,0,0,0,4,0,0,0,0,0,0,0,0
3300010282_2|3300010282.a:Ga0129307_1001662,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus flavefaciens_A,False,8,0,6,0,0,0,1,0,1,0,6,0,0
3300010282_32|3300010282.a:Ga0129307_1000594,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA3738;s__,False,6,0,0,0,0,6,2,0,2,0,0,0,0
3300010282_8|3300010282.a:Ga0129307_1000008,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__,False,53,7,14,2,10,1,0,1,0,4,14,2,0
3300010282_8|3300010282.a:Ga0129307_1000019,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__,False,51,0,3,1,4,0,0,1,0,1,3,0,0
3300010282_8|3300010282.a:Ga0129307_1000348,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__,False,13,0,0,0,4,0,0,2,0,0,0,0,0
3300010283_10|3300010283.a:Ga0129312_1000306,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E siraeum,False,17,0,6,0,0,0,1,2,1,0,6,0,0
3300010283_10|3300010283.a:Ga0129312_1000345,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E siraeum,False,22,0,1,0,4,0,0,2,0,1,1,0,0
3300010283_14|3300010283.a:Ga0129312_1000558,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__,False,4,1,0,0,1,0,0,0,0,0,0,0,0
3300010283_2|3300010283.a:Ga0129312_1000307,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A;s__,False,17,0,0,1,0,0,1,1,1,0,0,0,0
